County,State,FIPS County Code,2016 Prescribing Rate
"Greenlee, AZ",AZ,4011,0
"La Paz, AZ",AZ,4012,78.3
"Maricopa, AZ",AZ,4013,68.2
"Mohave, AZ",AZ,4015,127.5
"Navajo, AZ",AZ,4017,67.5
"Pima, AZ",AZ,4019,74
"Pinal, AZ",AZ,4021,58.3
"Santa Cruz, AZ",AZ,4023,29.3
"Yavapai, AZ",AZ,4025,97.8
"Yuma, AZ",AZ,4027,56.6
"Alameda, CA",CA,6001,31.1
"Alpine, CA",CA,6003,
"Amador, CA",CA,6005,112.3
"Butte, CA",CA,6007,125.4
"Calaveras, CA",CA,6009,83.5
"Colusa, CA",CA,6011,45.2
"Contra Costa, CA",CA,6013,40.8
"Del Norte, CA",CA,6015,133.7
"El Dorado, CA",CA,6017,63.7
"Fresno, CA",CA,6019,57.8
"Glenn, CA",CA,6021,85
"Humboldt, CA",CA,6023,92.2
"Imperial, CA",CA,6025,52.4
"Inyo, CA",CA,6027,61.3
"Kern, CA",CA,6029,60.3
"Kings, CA",CA,6031,64.8
"Lake, CA",CA,6033,116.4
"Lassen, CA",CA,6035,81.7
"Los Angeles, CA",CA,6037,33.4
"Madera, CA",CA,6039,49.7
"Marin, CA",CA,6041,36.7
"Mariposa, CA",CA,6043,67.6
"Mendocino, CA",CA,6045,105.1
"Merced, CA",CA,6047,65.3
"Modoc, CA",CA,6049,96.4
"Mono, CA",CA,6051,54.4
"Monterey, CA",CA,6053,50.6
"Napa, CA",CA,6055,40.4
"Nevada, CA",CA,6057,83
"Orange, CA",CA,6059,42.1
"Placer, CA",CA,6061,62.9
"Plumas, CA",CA,6063,85.5
"Riverside, CA",CA,6065,49.4
"Sacramento, CA",CA,6067,50.3
"San Benito, CA",CA,6069,43.7
"San Bernardino, CA",CA,6071,52.2
"San Diego, CA",CA,6073,39.2
"San Francisco, CA",CA,6075,32.2
"San Joaquin, CA",CA,6077,54.5
"San Luis Obispo, CA",CA,6079,71.6
"San Mateo, CA",CA,6081,31.5
"Santa Barbara, CA",CA,6083,54.7
"Santa Clara, CA",CA,6085,24.2
"Santa Cruz, CA",CA,6087,57
"Shasta, CA",CA,6089,118
"Sierra, CA",CA,6091,21.3
"Siskiyou, CA",CA,6093,117.2
"Solano, CA",CA,6095,43
"Sonoma, CA",CA,6097,52.5
"Stanislaus, CA",CA,6099,85.1
"Sutter, CA",CA,6101,102.9
"Tehama, CA",CA,6103,94.8
"Trinity, CA",CA,6105,98.5
"Tulare, CA",CA,6107,65.1
"Tuolumne, CA",CA,6109,114.6
"Ventura, CA",CA,6111,54
"Yolo, CA",CA,6113,46.7
"Yuba, CA",CA,6115,83.2
"Adams, CO",CO,8001,52.5
"Alamosa, CO",CO,8003,152.4
"Arapahoe, CO",CO,8005,58.2
"Archuleta, CO",CO,8007,72.3
"Baca, CO",CO,8009,86.8
"Bent, CO",CO,8011,59.6
"Boulder, CO",CO,8013,47.7
"Broomfield, CO",CO,8014,52.9
"Chaffee, CO",CO,8015,94.4
"Cheyenne, CO",CO,8017,68.1
"Clear Creek, CO",CO,8019,34.8
"Conejos, CO",CO,8021,1.2
"Costilla, CO",CO,8023,
"Crowley, CO",CO,8025,29.7
"Custer, CO",CO,8027,
"Delta, CO",CO,8029,83.6
"Denver, CO",CO,8031,39.4
"Dolores, CO",CO,8033,
"Douglas, CO",CO,8035,50.5
"Eagle, CO",CO,8037,46.3
"Elbert, CO",CO,8039,34.9
"El Paso, CO",CO,8041,67.4
"Fremont, CO",CO,8043,72.7
"Garfield, CO",CO,8045,78.5
"Gilpin, CO",CO,8047,
"Grand, CO",CO,8049,43.3
"Gunnison, CO",CO,8051,51.6
"Hinsdale, CO",CO,8053,
"Huerfano, CO",CO,8055,80.6
"Jackson, CO",CO,8057,
"Jefferson, CO",CO,8059,70.4
"Kiowa, CO",CO,8061,112.7
"Kit Carson, CO",CO,8063,41
"Lake, CO",CO,8065,49.7
"La Plata, CO",CO,8067,58
"Larimer, CO",CO,8069,62.2
"Las Animas, CO",CO,8071,126
"Lincoln, CO",CO,8073,29
"Logan, CO",CO,8075,81.6
"Mesa, CO",CO,8077,78.6
"Mineral, CO",CO,8079,
"Moffat, CO",CO,8081,108
"Montezuma, CO",CO,8083,90.8
"Montrose, CO",CO,8085,80.7
"Morgan, CO",CO,8087,65.4
"Otero, CO",CO,8089,107.7
"Ouray, CO",CO,8091,34.4
"Park, CO",CO,8093,
"Phillips, CO",CO,8095,0.1
"Pitkin, CO",CO,8097,26.1
"Prowers, CO",CO,8099,79.3
"Pueblo, CO",CO,8101,107.9
"Rio Blanco, CO",CO,8103,26
"Rio Grande, CO",CO,8105,79.9
"Routt, CO",CO,8107,62
"Saguache, CO",CO,8109,
"San Juan, CO",CO,8111,
"San Miguel, CO",CO,8113,35.9
"Sedgwick, CO",CO,8115,1.3
"Summit, CO",CO,8117,59.9
"Teller, CO",CO,8119,107.7
"Washington, CO",CO,8121,
"Weld, CO",CO,8123,58
"Yuma, CO",CO,8125,71.1
"Fairfield, CT",CT,9001,43.4
"Hartford, CT",CT,9003,56
"Litchfield, CT",CT,9005,60.6
"Middlesex, CT",CT,9007,63.3
"New Haven, CT",CT,9009,63.1
"New London, CT",CT,9011,66.4
"Tolland, CT",CT,9013,48.4
"Windham, CT",CT,9015,71.6
"District of Columbia, DC",DC,11001,32.5
"Kent, DE",DE,10001,75.9
"New Castle, DE",DE,10003,74.7
"Sussex, DE",DE,10005,93.1
"Alachua, FL",FL,12001,69.1
"Baker, FL",FL,12003,112.2
"Bay, FL",FL,12005,121.2
"Bradford, FL",FL,12007,93.8
"Brevard, FL",FL,12009,92.1
"Broward, FL",FL,12011,51.3
"Calhoun, FL",FL,12013,71.2
"Charlotte, FL",FL,12015,79.8
"Citrus, FL",FL,12017,104.9
"Clay, FL",FL,12019,87.3
"Collier, FL",FL,12021,58.2
"Columbia, FL",FL,12023,118.8
"DeSoto, FL",FL,12027,57.4
"Dixie, FL",FL,12029,45.5
"Duval, FL",FL,12031,88.6
"Escambia, FL",FL,12033,113
"Flagler, FL",FL,12035,80.3
"Franklin, FL",FL,12037,80
"Gadsden, FL",FL,12039,58.8
"Gilchrist, FL",FL,12041,43.7
"Glades, FL",FL,12043,5
"Gulf, FL",FL,12045,103.9
"Hamilton, FL",FL,12047,36.6
"Hardee, FL",FL,12049,38.7
"Hendry, FL",FL,12051,70.9
"Hernando, FL",FL,12053,110
"Highlands, FL",FL,12055,80.2
"Hillsborough, FL",FL,12057,65.6
"Holmes, FL",FL,12059,83.5
"Indian River, FL",FL,12061,96.7
"Jackson, FL",FL,12063,109.6
"Jefferson, FL",FL,12065,51.7
"Lafayette, FL",FL,12067,57.4
"Lake, FL",FL,12069,82.3
"Lee, FL",FL,12071,66.3
"Leon, FL",FL,12073,71.5
"Levy, FL",FL,12075,102.8
"Liberty, FL",FL,12077,40.8
"Madison, FL",FL,12079,81.3
"Manatee, FL",FL,12081,76.2
"Marion, FL",FL,12083,90.8
"Martin, FL",FL,12085,74.8
"Miami-Dade, FL",FL,12086,30.5
"Monroe, FL",FL,12087,79.9
"Nassau, FL",FL,12089,110.4
"Okaloosa, FL",FL,12091,85.4
"Okeechobee, FL",FL,12093,101.6
"Orange, FL",FL,12095,45.2
"Osceola, FL",FL,12097,53
"Palm Beach, FL",FL,12099,59.3
"Pasco, FL",FL,12101,86.6
"Pinellas, FL",FL,12103,82.4
"Polk, FL",FL,12105,72.9
"Putnam, FL",FL,12107,110
"St. Johns, FL",FL,12109,65
"St. Lucie, FL",FL,12111,65.6
"Santa Rosa, FL",FL,12113,97.4
"Sarasota, FL",FL,12115,79
"Seminole, FL",FL,12117,55.9
"Sumter, FL",FL,12119,72.6
"Suwannee, FL",FL,12121,85.7
"Taylor, FL",FL,12123,113.8
"Union, FL",FL,12125,54.6
"Volusia, FL",FL,12127,81.8
"Wakulla, FL",FL,12129,83.8
"Walton, FL",FL,12131,89
"Washington, FL",FL,12133,124.7
"Appling, GA",GA,13001,123.7
"Atkinson, GA",GA,13003,67.9
"Bacon, GA",GA,13005,157.5
"Baker, GA",GA,13007,
"Baldwin, GA",GA,13009,98.4
"Banks, GA",GA,13011,42.3
"Barrow, GA",GA,13013,84.6
"Bartow, GA",GA,13015,102.9
"Ben Hill, GA",GA,13017,199.4
"Berrien, GA",GA,13019,56.1
"Bibb, GA",GA,13021,130.7
"Bleckley, GA",GA,13023,131.8
"Brantley, GA",GA,13025,55.2
"Brooks, GA",GA,13027,91
"Bryan, GA",GA,13029,90.7
"Bulloch, GA",GA,13031,84.7
"Burke, GA",GA,13033,84.3
"Butts, GA",GA,13035,100.2
"Calhoun, GA",GA,13037,2.2
"Camden, GA",GA,13039,73.9
"Candler, GA",GA,13043,169.7
"Carroll, GA",GA,13045,116.6
"Catoosa, GA",GA,13047,116.1
"Charlton, GA",GA,13049,104
"Chatham, GA",GA,13051,84.9
"Chattahoochee, GA",GA,13053,
"Chattooga, GA",GA,13055,131.4
"Cherokee, GA",GA,13057,70
"Clarke, GA",GA,13059,97.1
"Clay, GA",GA,13061,49
"Clayton, GA",GA,13063,44.6
"Clinch, GA",GA,13065,150.8
"Cobb, GA",GA,13067,61.3
"Coffee, GA",GA,13069,173.8
"Colquitt, GA",GA,13071,85.7
"Columbia, GA",GA,13073,81
"Cook, GA",GA,13075,105.7
"Coweta, GA",GA,13077,81.3
"Crawford, GA",GA,13079,1.1
"Crisp, GA",GA,13081,174.5
"Dade, GA",GA,13083,74.9
"Dawson, GA",GA,13085,135.6
"Decatur, GA",GA,13087,122.6
"DeKalb, GA",GA,13089,45.1
"Dodge, GA",GA,13091,93.1
"Dooly, GA",GA,13093,0.6
"Dougherty, GA",GA,13095,119.3
"Douglas, GA",GA,13097,94.5
"Early, GA",GA,13099,118.9
"Echols, GA",GA,13101,
"Effingham, GA",GA,13103,79.7
"Elbert, GA",GA,13105,146.7
"Emanuel, GA",GA,13107,113.4
"Evans, GA",GA,13109,122
"Fannin, GA",GA,13111,154.3
"Fayette, GA",GA,13113,91.8
"Floyd, GA",GA,13115,153.3
"Forsyth, GA",GA,13117,51.2
"Franklin, GA",GA,13119,122.9
"Fulton, GA",GA,13121,49.2
"Gilmer, GA",GA,13123,135.2
"Glascock, GA",GA,13125,
"Glynn, GA",GA,13127,104.5
"Gordon, GA",GA,13129,117.8
"Grady, GA",GA,13131,78.7
"Greene, GA",GA,13133,142
"Gwinnett, GA",GA,13135,47.4
"Habersham, GA",GA,13137,101.8
"Hall, GA",GA,13139,94.5
"Hancock, GA",GA,13141,53.7
"Haralson, GA",GA,13143,193.7
"Harris, GA",GA,13145,7.8
"Hart, GA",GA,13147,103.5
"Heard, GA",GA,13149,0.6
"Henry, GA",GA,13151,78.6
"Houston, GA",GA,13153,93.5
"Irwin, GA",GA,13155,57.2
"Jackson, GA",GA,13157,116.6
"Jasper, GA",GA,13159,58.8
"Jeff Davis, GA",GA,13161,91.7
"Jefferson, GA",GA,13163,125.1
"Jenkins, GA",GA,13165,31.1
"Johnson, GA",GA,13167,33.8
"Jones, GA",GA,13169,53.8
"Lamar, GA",GA,13171,75.6
"Lanier, GA",GA,13173,79.5
"Laurens, GA",GA,13175,122.8
"Lee, GA",GA,13177,52.4
"Liberty, GA",GA,13179,55
"Lincoln, GA",GA,13181,26.9
"Long, GA",GA,13183,0.1
"Lowndes, GA",GA,13185,92.7
"Lumpkin, GA",GA,13187,83.1
"McDuffie, GA",GA,13189,163.2
"McIntosh, GA",GA,13191,75.2
"Macon, GA",GA,13193,68
"Madison, GA",GA,13195,103.6
"Marion, GA",GA,13197,19.4
"Meriwether, GA",GA,13199,82.8
"Miller, GA",GA,13201,108.8
"Mitchell, GA",GA,13205,100.4
"Monroe, GA",GA,13207,67.8
"Montgomery, GA",GA,13209,36.9
"Morgan, GA",GA,13211,79.4
"Murray, GA",GA,13213,97.7
"Muscogee, GA",GA,13215,90.7
"Newton, GA",GA,13217,81.9
"Oconee, GA",GA,13219,63.2
"Oglethorpe, GA",GA,13221,40.3
"Paulding, GA",GA,13223,58.6
"Peach, GA",GA,13225,88.7
"Pickens, GA",GA,13227,122
"Pierce, GA",GA,13229,64.6
"Pike, GA",GA,13231,12.4
"Polk, GA",GA,13233,166.8
"Pulaski, GA",GA,13235,88.7
"Putnam, GA",GA,13237,67.9
"Quitman, GA",GA,13239,
"Rabun, GA",GA,13241,134
"Randolph, GA",GA,13243,138.3
"Richmond, GA",GA,13245,86.8
"Rockdale, GA",GA,13247,79.3
"Schley, GA",GA,13249,3.2
"Screven, GA",GA,13251,58.1
"Seminole, GA",GA,13253,178.8
"Spalding, GA",GA,13255,136.7
"Stephens, GA",GA,13257,163.7
"Stewart, GA",GA,13259,61.9
"Sumter, GA",GA,13261,105.7
"Talbot, GA",GA,13263,
"Taliaferro, GA",GA,13265,
"Tattnall, GA",GA,13267,54.1
"Taylor, GA",GA,13269,72.9
"Telfair, GA",GA,13271,58.6
"Terrell, GA",GA,13273,51.3
"Thomas, GA",GA,13275,107.4
"Tift, GA",GA,13277,149.2
"Toombs, GA",GA,13279,152.8
"Towns, GA",GA,13281,111
"Treutlen, GA",GA,13283,76.6
"Troup, GA",GA,13285,98.9
"Turner, GA",GA,13287,84.2
"Twiggs, GA",GA,13289,1.3
"Union, GA",GA,13291,128.6
"Upson, GA",GA,13293,138.4
"Walker, GA",GA,13295,54.8
"Walton, GA",GA,13297,111
"Ware, GA",GA,13299,221.3
"Warren, GA",GA,13301,0.2
"Washington, GA",GA,13303,95.6
"Wayne, GA",GA,13305,144
"Webster, GA",GA,13307,60
"Wheeler, GA",GA,13309,32.9
"White, GA",GA,13311,100.9
"Whitfield, GA",GA,13313,93.4
"Wilcox, GA",GA,13315,3.5
"Wilkes, GA",GA,13317,138
"Wilkinson, GA",GA,13319,92
"Worth, GA",GA,13321,95.4
"Hawaii, HI",HI,15001,66.4
"Honolulu, HI",HI,15003,33.6
"Kalawao, HI",HI,15005,
"Kauai, HI",HI,15007,55.1
"Maui, HI",HI,15009,56.8
"Adair, IA",IA,19001,51.9
"Adams, IA",IA,19003,13.3
"Allamakee, IA",IA,19005,44.5
"Appanoose, IA",IA,19007,117.1
"Audubon, IA",IA,19009,47.4
"Benton, IA",IA,19011,12.9
"Black Hawk, IA",IA,19013,72.9
"Boone, IA",IA,19015,61.1
"Bremer, IA",IA,19017,48.5
"Buchanan, IA",IA,19019,37.8
"Buena Vista, IA",IA,19021,42.2
"Butler, IA",IA,19023,17.1
"Calhoun, IA",IA,19025,68
"Carroll, IA",IA,19027,99.3
"Cass, IA",IA,19029,100.2
"Cedar, IA",IA,19031,19.8
"Cerro Gordo, IA",IA,19033,97.8
"Cherokee, IA",IA,19035,43.2
"Chickasaw, IA",IA,19037,26.9
"Clarke, IA",IA,19039,87.6
"Clay, IA",IA,19041,105.1
"Clayton, IA",IA,19043,28.4
"Clinton, IA",IA,19045,79.1
"Crawford, IA",IA,19047,63.5
"Dallas, IA",IA,19049,17.6
"Davis, IA",IA,19051,58.1
"Decatur, IA",IA,19053,45.3
"Delaware, IA",IA,19055,46.5
"Des Moines, IA",IA,19057,95.6
"Dickinson, IA",IA,19059,77.6
"Dubuque, IA",IA,19061,61.2
"Emmet, IA",IA,19063,62.8
"Fayette, IA",IA,19065,64.8
"Floyd, IA",IA,19067,85.2
"Franklin, IA",IA,19069,7.7
"Fremont, IA",IA,19071,71.2
"Greene, IA",IA,19073,92.8
"Grundy, IA",IA,19075,31.8
"Guthrie, IA",IA,19077,2.6
"Hamilton, IA",IA,19079,65.1
"Hancock, IA",IA,19081,0.3
"Hardin, IA",IA,19083,55.9
"Harrison, IA",IA,19085,69.5
"Henry, IA",IA,19087,68.4
"Howard, IA",IA,19089,30.8
"Humboldt, IA",IA,19091,61.5
"Ida, IA",IA,19093,57.5
"Iowa, IA",IA,19095,35.7
"Jackson, IA",IA,19097,35.8
"Jasper, IA",IA,19099,70.4
"Jefferson, IA",IA,19101,91.5
"Johnson, IA",IA,19103,32.3
"Jones, IA",IA,19105,46.6
"Keokuk, IA",IA,19107,
"Kossuth, IA",IA,19109,38.4
"Lee, IA",IA,19111,125.6
"Linn, IA",IA,19113,65
"Louisa, IA",IA,19115,27.8
"Lucas, IA",IA,19117,107.6
"Lyon, IA",IA,19119,24.9
"Madison, IA",IA,19121,84.2
"Mahaska, IA",IA,19123,67.9
"Marion, IA",IA,19125,61.2
"Marshall, IA",IA,19127,77.4
"Mills, IA",IA,19129,40.5
"Mitchell, IA",IA,19131,26.8
"Monona, IA",IA,19133,91.4
"Monroe, IA",IA,19135,94.3
"Montgomery, IA",IA,19137,83.7
"Muscatine, IA",IA,19139,58.6
"O’Brien, IA",IA,19141,57.9
"Osceola, IA",IA,19143,34.9
"Page, IA",IA,19145,112.4
"Palo Alto, IA",IA,19147,38
"Plymouth, IA",IA,19149,45.4
"Pocahontas, IA",IA,19151,63.2
"Polk, IA",IA,19153,82.2
"Pottawattamie, IA",IA,19155,90.6
"Poweshiek, IA",IA,19157,54.3
"Ringgold, IA",IA,19159,89.3
"Sac, IA",IA,19161,18.4
"Scott, IA",IA,19163,73.3
"Shelby, IA",IA,19165,60.6
"Sioux, IA",IA,19167,32
"Story, IA",IA,19169,41.6
"Tama, IA",IA,19171,31
"Taylor, IA",IA,19173,20.6
"Union, IA",IA,19175,126.2
"Van Buren, IA",IA,19177,1.4
"Wapello, IA",IA,19179,120.7
"Warren, IA",IA,19181,40.5
"Washington, IA",IA,19183,45.6
"Wayne, IA",IA,19185,15.8
"Webster, IA",IA,19187,90.4
"Winnebago, IA",IA,19189,54.5
"Winneshiek, IA",IA,19191,47.2
"Woodbury, IA",IA,19193,72.7
"Worth, IA",IA,19195,0.8
"Wright, IA",IA,19197,64.7
"Ada, ID",ID,16001,72
"Adams, ID",ID,16003,
"Bannock, ID",ID,16005,101.6
"Bear Lake, ID",ID,16007,113.3
"Benewah, ID",ID,16009,90
"Bingham, ID",ID,16011,66.8
"Blaine, ID",ID,16013,46
"Boise, ID",ID,16015,
"Bonner, ID",ID,16017,65
"Bonneville, ID",ID,16019,92.3
"Boundary, ID",ID,16021,99.8
"Butte, ID",ID,16023,99.3
"Camas, ID",ID,16025,
"Canyon, ID",ID,16027,76.3
"Caribou, ID",ID,16029,107.1
"Cassia, ID",ID,16031,102.8
"Clark, ID",ID,16033,
"Clearwater, ID",ID,16035,64.5
"Custer, ID",ID,16037,24.6
"Elmore, ID",ID,16039,69.2
"Franklin, ID",ID,16041,75.7
"Fremont, ID",ID,16043,43.3
"Gem, ID",ID,16045,108.8
"Gooding, ID",ID,16047,60
"Idaho, ID",ID,16049,56.4
"Jefferson, ID",ID,16051,37.5
"Jerome, ID",ID,16053,70.9
"Kootenai, ID",ID,16055,95
"Latah, ID",ID,16057,61.2
"Lemhi, ID",ID,16059,99.1
"Lewis, ID",ID,16061,8.9
"Lincoln, ID",ID,16063,
"Madison, ID",ID,16065,51.8
"Minidoka, ID",ID,16067,30.3
"Nez Perce, ID",ID,16069,127.8
"Oneida, ID",ID,16071,103.8
"Owyhee, ID",ID,16073,12.1
"Payette, ID",ID,16075,47.9
"Power, ID",ID,16077,71.6
"Shoshone, ID",ID,16079,106.5
"Teton, ID",ID,16081,57.8
"Twin Falls, ID",ID,16083,99.9
"Valley, ID",ID,16085,95.9
"Washington, ID",ID,16087,113.5
"Adams, IL",IL,17001,133.7
"Alexander, IL",IL,17003,4.4
"Bond, IL",IL,17005,55.5
"Boone, IL",IL,17007,50.6
"Brown, IL",IL,17009,2.7
"Bureau, IL",IL,17011,31
"Calhoun, IL",IL,17013,2
"Carroll, IL",IL,17015,36.2
"Cass, IL",IL,17017,24.6
"Champaign, IL",IL,17019,65.9
"Christian, IL",IL,17021,86.8
"Clark, IL",IL,17023,26.6
"Clay, IL",IL,17025,76
"Clinton, IL",IL,17027,34.2
"Coles, IL",IL,17029,99.8
"Cook, IL",IL,17031,41.3
"Crawford, IL",IL,17033,32
"Cumberland, IL",IL,17035,0.6
"DeKalb, IL",IL,17037,57.7
"De Witt, IL",IL,17039,85.3
"Douglas, IL",IL,17041,32.4
"DuPage, IL",IL,17043,46.7
"Edgar, IL",IL,17045,105.5
"Edwards, IL",IL,17047,96.2
"Effingham, IL",IL,17049,71.2
"Fayette, IL",IL,17051,61.5
"Ford, IL",IL,17053,3.7
"Franklin, IL",IL,17055,138.5
"Fulton, IL",IL,17057,69.1
"Gallatin, IL",IL,17059,0.1
"Greene, IL",IL,17061,2.5
"Grundy, IL",IL,17063,91.6
"Hamilton, IL",IL,17065,2.7
"Hancock, IL",IL,17067,25.9
"Hardin, IL",IL,17069,239.5
"Henderson, IL",IL,17071,0.3
"Henry, IL",IL,17073,61.5
"Iroquois, IL",IL,17075,57.6
"Jackson, IL",IL,17077,104.5
"Jasper, IL",IL,17079,42.3
"Jefferson, IL",IL,17081,113.7
"Jersey, IL",IL,17083,117.9
"Jo Daviess, IL",IL,17085,38.2
"Johnson, IL",IL,17087,29.8
"Kane, IL",IL,17089,41.5
"Kankakee, IL",IL,17091,81.8
