Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
3/1/07,10.770167,50.647984,67.945892,45.048161,23.108694,48.461769,17.589045,27.620157,55.702538,25.740261,176.424332,30.946491,76.182991,14.576902,47.866642,37.150864,31.467432,59.224041,29.223318,23.080967,10.458423,16.777363,46.849339,40.88493,46.633595,48.936302,11.347786,20.819359,36.766621,28.926102
4/1/07,11.00922,50.278778,68.220215,44.930313,23.717041,47.990608,17.596292,27.496702,54.657818,25.591133,174.780716,30.569727,76.997505,15.164277,48.464996,37.243595,31.230724,58.989429,29.94693,23.042315,10.565505,16.834793,46.493664,40.541374,46.935196,48.983059,11.347786,20.934958,36.944443,29.15447
5/1/07,10.930819,49.615891,67.930679,44.355778,23.725374,48.174992,17.473186,27.236065,55.048649,25.462328,174.956512,29.981987,76.300468,15.114139,48.025242,36.934456,31.230724,58.58836,29.409187,22.910908,10.582636,16.783747,46.094406,40.014565,46.615845,48.83503,11.347786,20.577139,36.642899,28.91765
8/1/07,10.984798,50.085789,67.770653,44.407345,23.858704,48.789536,17.585424,27.085171,54.605186,25.45554,179.070038,29.755941,77.459595,15.04967,47.945961,37.058105,31.352669,58.716984,29.402559,23.135077,10.550515,16.694397,46.196045,39.716801,47.298901,49.232372,11.347786,20.485321,36.341351,29.179844
9/1/07,11.897308,49.76693,67.054344,44.65041,23.725374,48.229595,17.599911,27.016594,54.184292,25.45554,179.377594,29.627848,78.375984,15.063998,47.765728,36.903538,31.410057,58.785091,29.130375,23.15826,10.682221,16.700779,46.079914,39.61755,46.731178,48.67141,11.347786,20.568796,36.642899,29.137554
10/1/07,12.466661,49.733368,68.022095,44.429443,23.900377,47.396542,17.625254,27.057747,53.35751,25.462328,182.919846,29.974447,77.451797,15.414987,47.686455,37.174049,31.747168,58.913769,29.289692,22.926367,10.682221,16.719927,46.631596,39.357952,46.864231,48.842819,11.347786,20.451925,36.557854,29.171387
11/1/07,12.312438,49.884407,67.694427,44.193748,23.908707,46.904892,17.646978,27.455544,53.349979,25.706367,186.233521,30.20051,77.263809,15.701511,48.104557,37.336349,31.926491,59.51915,29.382641,23.730261,10.705781,16.885845,46.92194,39.090748,48.301308,49.629726,11.347786,20.652269,36.805275,29.594284
12/1/07,12.16078,49.515213,67.153435,44.002239,24.100382,48.038406,17.578188,27.73675,54.61272,25.686035,188.08815,30.223122,77.804237,15.85194,48.039654,37.089027,31.718491,60.056454,29.734484,24.124472,10.682221,17.000717,47.183273,38.983849,48.877899,50.190678,11.347786,20.774708,37.099094,29.780361
16/1/07,12.479513,49.615891,67.054344,43.633961,23.367035,47.574074,17.560081,27.832783,53.838543,25.835176,187.736557,30.358744,78.963379,15.973705,47.967575,37.398174,31.969536,60.207809,29.84071,24.085823,10.704708,17.083681,47.183273,38.976215,49.454502,50.276398,11.347786,20.680098,37.354275,29.628113
17/1/07,12.203192,49.691414,67.686836,44.127464,22.48369,48.359352,17.596292,27.949377,54.462379,25.747046,187.420105,30.358744,78.336823,15.071159,48.205463,37.429089,32.177547,59.715916,29.880533,24.039452,10.688642,17.160254,47.671959,38.907501,49.365784,50.502338,11.347786,20.524273,37.269211,29.814192
18/1/07,11.447481,49.506813,67.054344,44.342125,22.042011,48.427631,17.505779,28.079687,54.086582,25.760609,184.29982,30.79578,77.890358,14.791795,48.811028,37.212692,31.983881,59.640247,30.365152,23.962154,10.672584,17.338942,47.803234,39.159458,47.724701,50.57246,11.347786,20.908268,37.416122,30.321657
19/1/07,11.374224,48.74324,67.534424,43.94978,22.250353,49.383629,17.473186,28.861591,55.266609,25.048798,185.144989,30.554653,75.321442,14.91357,48.847054,37.684124,32.141693,59.973221,30.272209,24.047186,10.701495,17.370853,48.204388,39.220528,47.192463,50.782818,11.347786,20.730188,37.354275,30.025637
